Part Name,Quantity,Cost Per Pack,Total Cost for All Packs,Purchase Link
GT2 8mm Bore 10 mm Belt width 30 T Pulley (6 pack),1,14.29,14.29,https://www.amazon.com/uxcell-Synchronous-Aluminum-Printer-Machine/dp/B0DNFCZZ7Y?ref_=ast_sto_dp
GT2 8mm Bore 10 mm Belt width 60 T Pulley (2 pack),1,9.99,9.99,https://www.amazon.com/uxcell-Synchronous-Aluminum-Printer-Machine/dp/B0DNFCY16W?ref_=ast_sto_dp
GT2 8mm Bore 10 mm Belt width 80 T Pulley (1 pack),1,11.99,11.99,https://www.amazon.com/1-Pack-80T-Synchronous-Printer-Machine/dp/B0BYRQMK7J/ref=sr_1_4?crid=1N7UJUHTP6KHD&dib=eyJ2IjoiMSJ9.cuvQ2jRjR9ZAQ9lvH27GxAoXcBhhcakPh_o5a_DwySf9-P_FDgCFa8RLt74vcswrfudhs1FgJpBIoLEuNOJykCwn5_DvqNFgVRFwc-pw3zdCzJ93efbDE5tVJ-YiixRqy9zKPeTNVKnnoE4Z4nGebQiKXuPipinwTfr03vd0jYt0Nlbk0RcpiWn_KBFnQCS5ReX2IUJhvVzx7JKbk1oe6IoyoiK4zxLenjU0um9sGnY.xqIKBEUVNnRfZ-C0J_sjTaAF3KbwEXR1trpO1VSnazk&dib_tag=se&keywords=gt2%2Bpulley%2Bsynchronous%2Bwheel%2B8mm%2Bbore%2B80%2Bt&nsdOptOutParam=true&qid=1787255106&sprefix=gt2%2Bpulley%2Bsynchronous%2Bwheel%2B8mm%2Bbore%2B80%2Bt%2Caps%2C135&sr=8-4&th=1
GT2 10 mm Wide Belt 200mm Belt Loop Length (5 pack),1,8.99,8.99,https://www.amazon.com/MECCANIXITY-Timing-Printing-Closed-Rubber/dp/B0GYFRRZ6B/ref=sr_1_15?crid=G5OPVFDXNBP4&dib=eyJ2IjoiMSJ9.CGLrngB2VyBgdZDadn0HgDUqEzKVfAwAwDNpRVGNKjpHmDIKSluqp5Nb0BuXIjCWh7IYjUC7uWMspggpW69vA7kan5Jma_f2hSW8v7tJcSJ-jH5IrepepuP8RrRM7SavoQ3nYXkTw7EO5I7dJBKvWhDC8P2l2jYghdwvLuPeaeW-zY4msgXV4jMDH78cK4f0_8N0WPPj3gWWdxKPDy7abQnUb3rrOAkSn4QakEnVEBw.uGWPH2bTofWHTYUQPsUAVz5E_1XoHo8j21znmH4e_-g&dib_tag=se&keywords=gt2%2B10%2Bmm%2Bbelt&qid=1786139960&sprefix=gt2%2B10%2Bmm%2Bbelt%2Caps%2C218&sr=8-15&th=1
GT2 10 mm wide Belt 232 mm belt loop length (5 pack),1,9.99,9.99,https://www.amazon.com/MECCANIXITY-Timing-Printing-Closed-Rubber/dp/B0GYFXYDQT/ref=sr_1_15?crid=G5OPVFDXNBP4&dib=eyJ2IjoiMSJ9.CGLrngB2VyBgdZDadn0HgDUqEzKVfAwAwDNpRVGNKjpHmDIKSluqp5Nb0BuXIjCWh7IYjUC7uWMspggpW69vA7kan5Jma_f2hSW8v7tJcSJ-jH5IrepepuP8RrRM7SavoQ3nYXkTw7EO5I7dJBKvWhDC8P2l2jYghdwvLuPeaeW-zY4msgXV4jMDH78cK4f0_8N0WPPj3gWWdxKPDy7abQnUb3rrOAkSn4QakEnVEBw.uGWPH2bTofWHTYUQPsUAVz5E_1XoHo8j21znmH4e_-g&dib_tag=se&keywords=gt2%2B10%2Bmm%2Bbelt&qid=1786139960&sprefix=gt2%2B10%2Bmm%2Bbelt%2Caps%2C218&sr=8-15&th=1
20 T Toothless pulley for tensioning (5 pack),1,9.99,9.99,https://www.amazon.com/WINSINN-Aluminum-Timing-Toothless-Printer/dp/B07BPHRSN5/ref=sr_1_3?dib=eyJ2IjoiMSJ9.q0px00WrVCQHySrnp1xaySsynCUMonxA_vX5J2yu-ULY7ylpJ7kQ0UHDu_4844lL-XvbgsZ-m4i3Oe8Qxhgh_WzEHztwZaq9KDPdp6nD7sG6y0KJ49_Zx3W_ctlVvIbfbi2eU3irtGKYmCksS7p_fbCNwM23ruRxj3XwZWZgQVmgh6GSTSXsDfJrLaYILd_e7HS5-TcX84G97lDfu2kmb4CnIjTfYzyEHQjImd7Qnlo.iN60tfqsu_lUHsG1FcEc5qlu_6SWgjp4iixE5Omb1xM&dib_tag=se&keywords=10%2Bmm%2Bwidth%2Btoothless%2Bpulley&qid=1786163777&sr=8-3&th=1
8 mm ID 12 mm OD Ball bearing (12 pack),2,9.99,19.98,https://www.amazon.com/uxcell-Shielded-Bearings-Electric-Skateboards/dp/B0F4XQM1NQ/ref=sr_1_22_sspa?crid=3JH4GLRUZFQ0F&dib=eyJ2IjoiMSJ9.j8CRWFu5SYSgiYsBfSezTgZv4lSfIFcJ_VWqR4lkfDJuhanIe4UpD8g4jF0M42dCjCYri3hvJNDf2aJ6CV9mBUzEZwkFU73gf4DKH_k4_4gr1slt6rDmyAIq6u74ZjV3OGZ1UqQgH89LZGW74_jWbhm4v_f2oSv9emU6i638XhUme1XY2qPC0f-WWUNXKkjQr3-m5PguC2TD3zK9zyRq1JJZy641bsMX9qzDsckCjTg.spgK-kuGGU4VJgY1peT25RjkLHjYtxENYiiRn8l6qoA&dib_tag=se&keywords=12%2Bm%2BOD%2Bball%2Bbearing%2B8%2Bmm%2BID%2Bcarbon%2Bsteel&nsdOptOutParam=true&qid=1787020429&sprefix=12%2Bm%2Bod%2Bball%2Bbearing%2B8%2Bmm%2Bid%2Bcarbon%2Bsteel%2Caps%2C192&sr=8-22-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&th=1
8 mm Shaft Adapter (4 pack),2,6.99,13.98,https://www.amazon.com/Mrosnail-Coupling-Connector-Electroplated-Heat-Treated/dp/B0CSVZQHZY/ref=sr_1_12_sspa?crid=3S1L0TNIS6U&dib=eyJ2IjoiMSJ9.osVSoATYy3AH_kypIyHWypNFzEDIpRmCRREJFL7P_EXpYD22hjvZWstFuTi2TiGjZZFhROZnh8zqBxnRshLS8523cmQvriOhIbTNxQF2feXkCr3ZqtprvZUgwctjZ3VuJpBGXmFlJ1RezZngEO72yTxEi9cQ2gx2IkU9Jx4aVTgfW1dzGYg4ETB74vvYZaRQMUbxnycLB71MaOFHnkganJTPRopO3vJ8akYp6xIKIqyIO3H8XktSIqJJE14LpheuaBupJoU1gVGck1xOO01nwtxg40fO0dXDYwotJNB7nrM.QiNZhQasaIwuyhDToyHSXVpAbUO318Zvxth9UPEnJaA&dib_tag=se&keywords=8%2Bmm%2Bflange%2Bcoupling%2Bconnecto&qid=1786471493&s=industrial&sprefix=8%2Bmm%2Bflange%2Bcoupling%2Bconnecto%2Cindustrial%2C154&sr=1-12-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&th=1
Waveshare Motor Driver Board (1 pack),1,12.99,12.99,https://www.amazon.com/Waveshare-Integrates-Control-Applicable-Integrate/dp/B0CJ6TP3TP
12T Brass MOD 0.8 Gear for the drill end servo (1 pack),1,8.99,8.99,https://www.gobilda.com/2305-series-brass-mod-0-8-servo-gear-25-tooth-spline-12-tooth/
